https://medium.com/odds-team/stats/stories,,
Date,Article,Author
2020/11/14,Trillion Dollar Coach โค้ชแห่งซิลิคอนแวลลีย์ บิล แคมป์เบลล์… อีริก ชมิดต์ โจนาธาน โรเซนเบิร์ก อลัน อีเกิล,Rangsit Boonyasettakul
2020/11/15,เมื่อผมได้เรียน DDD (Domain Driven Design),A’phirat Nimanussonkul
2020/11/15,มาทำ YAGNI กันเถอะ !!,Runyasak Chaengnaimuang
2020/11/16,หยุด Data-Driven ก่อน เรามา Data-Informed + Creative + Problem Solving กันดีกว่า,Kan Ouivirach
2020/11/16,กว่าจะมาเป็น polyglot programmer,Chokchai Phatharamalai
2020/11/19,ความเหมือนของ Football coach กับ Agile coach,Amorndej <Ko-Dookie>
2020/11/20,ตั้งชื่อ RESTful API Endpoint แบบไม่ต้องพึ่งหลวงพ่อ (Part I),Bhuridech Sudsee
2020/11/24,จุดเริ่มต้นของ LeSSEx,Chokchai Phatharamalai
2020/11/24,ให้ Angular แสดงภาพที่ต้อง Authen ด้วย JWT,Chonlasith Jucksriporn
2020/11/27,Connect MongoDB ใน Cypress,Kitphon Poonyapalang
2020/11/29,สรุปหลังเรียน User Research กับ Thanabat,Kawee Lertrungmongkol
2020/11/30,ขึ้นต้นด้วย R ลงท้ายด้วย E ใคร ๆ ก็บอกว่าดี แต่ไม่ทำกัน,Chokchai Phatharamalai
2020/11/30,แรงบันดาลใจสำหรับงาน UXTH 2020,Roof 44 Panichsombat
2020/11/30,ใช้ ControlValueAccessor ส่งค่า Date Picker ใน Angular 8,Nitcharee Patkhunjiratawol
2020/11/30,เมื่อรู้ว่าของที่กำลังสร้าง จะถูกนำไปใช้อย่างไร ปริศนาจะคลี่คลาย (Outside-in),Prayoch Rujira
2020/12/02,เขียน TypeScript กันทำไมนะ,Supawit R
2020/12/05,ไม่ชอบมัน,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/12/05,Jenkins — ส่ง Notification ไป MS-Team กัน,tumit
2020/12/07,ความโค้ช,Chokchai Phatharamalai
2020/12/07,Hanlon’s Razor อย่าเพิ่งไปตัดสินว่าสิ่งที่เค้าทำมันแย่,Kan Ouivirach
2020/12/07,องค์กรของเราขับเคลื่อนด้วยข้อมูลหรือยังนะ?,Kan Ouivirach
2020/12/09,Airflow 2.0 มีอะไรใหม่บ้าง มาดูกัน 🤩,Kan Ouivirach
2020/12/14,ในวันที่ทุกอย่างมันถาโถมเข้ามา,Chokchai Phatharamalai
2020/12/21,ในวันที่ทีมชะงัก,Chokchai Phatharamalai
2020/12/26,Install pip3 on Big Sur using Brew,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/12/27,อยากทำงานสาย Data Science เริ่มต้นอย่างไรดี?,Kan Ouivirach
2020/12/28,ไม่มี role อไจล์โค้ชในสกรัม,Chokchai Phatharamalai
2020/12/28,อาจารย์หมาป่า,แมวใบไม้ ครองโลก Airmee Chanita Anuwong
2020/12/30,ความสวยงามที่ไม่มีสีสัน,Kamonlojn Phrompang
